amfi_code,scheme_name,return_3yr_pct,sharpe_ratio,expense_ratio_pct,alpha,beta,max_drawdown,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,fund_score
119598,SBI Small Cap Fund - Regular Plan - Growth,23.39,0.94,1.43,0.3033696538698332,-0.023196062044059693,-0.2870600572176455,1.0,18.0,1.0,21.0,36.0,11.75
120843,Kotak Flexicap Fund - Regular - Growth,15.65,0.98,1.45,0.27330465038306057,-0.02282956979242654,-0.1297396816518679,11.0,12.0,5.0,22.0,13.0,11.9
120505,ICICI Pru Midcap Fund - Regular - Growth,18.08,0.95,1.36,0.2926358334175106,0.000549004250631712,-0.18188513572116294,8.0,17.0,3.0,15.0,25.0,12.0
148567,Mirae Asset Large Cap Fund - Regular - Growth,14.81,1.06,1.46,0.2698375144191807,0.023683558075848623,-0.11265729075028275,17.0,7.5,7.0,23.0,8.0,12.625
120504,ICICI Pru Bluechip Fund - Direct - Growth,14.41,1.03,0.8,0.2119482701352573,0.016232169761417007,-0.12588275606922517,20.0,9.0,13.0,12.0,12.0,13.849999999999998
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,16.58,0.87,1.38,0.2719535450128533,0.0051035258305283104,-0.16217208574644848,10.0,29.0,6.0,17.0,20.0,16.0
118632,Nippon India Large Cap Fund - Regular - Growth,14.0,1.0,1.51,0.21829397904608644,-0.008353832126962021,-0.17414075086657232,21.0,10.0,11.0,24.5,23.0,16.975
119599,SBI Small Cap Fund - Direct Plan - Growth,23.14,0.93,0.72,0.048824215945539845,0.06200180438267168,-0.5257422117012851,2.0,19.5,36.0,5.5,40.0,17.5
120506,ICICI Pru Value Discovery Fund - Regular - Growth,14.76,0.98,1.41,0.1625385327998104,0.04189646272811977,-0.1982565826298267,18.0,12.0,20.0,19.0,27.0,17.95
125497,HDFC Top 100 Fund - Direct Plan - Growth,13.38,0.96,0.92,0.17729754927531766,0.04882040425957739,-0.15200013055606398,24.0,15.0,16.0,14.0,18.0,18.05
120507,ICICI Pru Liquid Fund - Regular - Growth,7.68,7.68,0.74,0.06746210411099539,-0.0004440926329707234,-0.0009773140045925555,35.0,1.0,31.0,7.0,1.0,18.1
149323,DSP Midcap Fund - Regular - Growth,17.16,0.9,1.61,0.26598577542043045,-0.002523004664699247,-0.17248105753451382,9.0,24.5,8.0,38.0,22.0,18.325
101206,ABSL Frontline Equity Fund - Regular - Growth,13.78,0.98,1.6,0.21399784776051212,0.02108631625012803,-0.11291596329323073,22.0,12.0,12.0,36.5,9.0,18.375
120844,Kotak Liquid Fund - Regular - Growth,6.18,6.18,0.6,0.06455677495375998,-0.00040074423947840013,-0.0011629327956168556,37.0,2.0,32.0,3.0,2.0,18.65
149324,DSP Small Cap Fund - Regular - Growth,20.08,0.8,1.52,0.3005787817097677,0.011455159960520708,-0.31171900300634214,6.0,38.5,2.0,26.5,37.0,19.5
120842,Kotak Emerging Equity Fund - Regular - Growth,18.23,0.96,1.56,0.0780443887615508,0.01805687420811816,-0.24003511326274884,7.0,15.0,29.0,33.0,33.0,19.900000000000002
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.56,0.91,1.52,0.20873010086942337,-0.026387719943843004,-0.1527259422823477,19.0,22.5,14.0,26.5,19.0,20.0
100025,HDFC Short Term Debt Fund - Regular - Growth,7.37,1.84,0.56,0.042817920315060876,0.0011582183155281463,-0.04308263824636349,36.0,4.0,38.0,2.0,4.0,20.099999999999998
101207,ABSL Small Cap Fund - Regular - Growth,22.38,0.9,1.53,0.10897091901704538,-0.06528924788351524,-0.3544691649336603,3.0,24.5,27.0,28.5,38.0,20.5
